Month,Guinea,Liberia,SierraLeone,Nigeria,Senegal,US
1,0,0,0,0,0,0
2,49,8,2,0,0,0
3,80,11,2,0,0,0
4,226,13,2,0,0,0
5,328,14,79,0,0,0
6,413,107,239,0,0,0
7,485,468,646,4,0,0
8,771,1698,1216,20,1,0
9,1157,3696,2304,21,1,1
